stage,progress,timesteps,mean_return,std_return,mean_survival_time_s,success_rate,rms_angle_deg,rms_cart_position_m,rms_cart_velocity_mps,rms_force_n,max_abs_angle_deg
random,0.0,0,5.470522409527769,4.5270862873686,0.6140000000000001,0.0,15.008948926626491,0.1631316364882692,0.24358979939192354,2.356220368361359,31.178118071450974
25_percent,0.25,28672,236.5406701137431,104.22382335183573,6.384,0.1,1.5939532458107217,1.0058655819231412,0.4985112855689525,0.6180475081939375,4.4574226385716775
50_percent,0.5,53248,405.2366727687957,102.02530881490475,9.396,0.8,0.6712183349494683,0.6765561544189438,0.17373018989580016,0.6390477604818952,3.9613142034791635
75_percent,0.75,77824,492.99112811340336,7.812810006756638,10.0,1.0,0.6097697659250776,0.18586060906825158,0.07913036808272009,0.7499501166717419,3.931623569670067
100_percent,1.0,102400,495.94014256507097,3.616425888210519,10.0,1.0,0.6493756237251759,0.13669607711459156,0.08088686235687517,0.7634513622978789,3.982907568178034
